ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
152,صدف,صَدَفَ,صدف,1,صَدَفَ,يَصْدِفُ,اِصْدِفْ
153,شهق,شَهَقَ,شهق,1,شَهَقَ,يَشْهِقُ,اِشْهِقْ
154,معن,مَعَنَ,معن,1,مَعَنَ,يَمْعِنُ,اِمْعِنْ
155,شهب,شَهِبَ,شهب,1,شَهِبَ,يَشْهِبُ,اِشْهِبْ
156,فخر,فَخِرَ,فخر,1,فَخِرَ,يَفْخِرُ,اِفْخِرْ
157,زمر,زَمَرَ,زمر,1,زَمَرَ,يَزْمِرُ,اِزْمِرْ
158,شكر,شَكِرَ,شكر,1,شَكِرَ,يَشْكِرُ,اِشْكِرْ
159,شكس,شَكِسَ,شكس,1,شَكِسَ,يَشْكِسُ,اِشْكِسْ
160,شكل,شَكِلَ,شكل,1,شَكِلَ,يَشْكِلُ,اِشْكِلْ
161,حمل,حَمَلَ,حمل,1,حَمَلَ,يَحْمِلُ,اِحْمِلْ
162,شمت,شَمِتَ,شمت,1,شَمِتَ,يَشْمِتُ,اِشْمِتْ
163,كبت,كَبَتَ,كبت,1,كَبَتَ,يَكْبِتُ,اِكْبِتْ
164,شمس,شَمِسَ,شمس,1,شَمِسَ,يَشْمِسُ,اِشْمِسْ
165,نزف,نَزَفَ,نزف,1,نَزَفَ,يَنْزِفُ,اِنْزِفْ
166,شرب,شَرِبَ,شرب,1,شَرِبَ,يَشْرِبُ,اِشْرِبْ
167,زعق,زَعَقَ,زعق,1,زَعَقَ,يَزْعِقُ,اِزْعِقْ
168,نشط,نَشَطَ,نشط,1,نَشَطَ,يَنْشِطُ,اِنْشِطْ
169,ذبح,ذَبَحَ,ذبح,1,ذَبَحَ,يَذْبِحُ,اِذْبِحْ
170,شعف,شَعِفَ,شعف,1,شَعِفَ,يَشْعِفُ,اِشْعِفْ
171,سوق,سَوِقَ,سوق,1,سَوِقَ,يَسْوِقُ,اِسْوِقْ
172,جشم,جَشِمَ,جشم,1,جَشِمَ,يَجْشِمُ,اِجْشِمْ
173,شبر,شَبِرَ,شبر,1,شَبِرَ,يَشْبِرُ,اِشْبِرْ
174,ظلف,ظَلِفَ,ظلف,1,ظَلِفَ,يَظْلِفُ,اِظْلِفْ
175,طفر,طَفَرَ,طفر,1,طَفَرَ,يَطْفِرُ,اِطْفِرْ
176,شبق,شَبِقَ,شبق,1,شَبِقَ,يَشْبِقُ,اِشْبِقْ
